shipping_id,shipping_details_id,amount,currency,name,handle,reference,taxIncluded
ee54d528-ef71-4da8-afe1-7162adfb97a3,1d937d10-92d5-42c1-8a10-7edc2d73de3b,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9467162911,True
55f92a1e-205a-4bd0-ab87-a0f29865d9b6,a3fc5c4c-632c-4d17-9bba-012674f7a7a8,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/6292159122,True
3ba85fc3-d8f1-4e21-b833-0bbbcebf0bdf,b2eddb54-d5ba-4d3e-b23a-60ce9f4946df,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/7755725203,True
5de0d7a6-8aa5-4d63-8e09-7ec1b42b4a36,5867b35f-eda3-4508-9db7-5e36f40add6e,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/2147628981,True
a955ba22-5fd2-43ba-a345-fd0f43811e99,f14da47e-07a8-48be-a032-98c22b85bca7,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1304399205,True
2d4d6514-63c9-48ba-86c8-8c9d778acf49,a230d45e-41fd-4f2f-a083-0e3f97a38744,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9877119023,True
1fd45dd3-a772-4dac-b1ba-42b9160d494f,aa97ecaf-076c-47b8-b486-a86f030a425f,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/4045402684,True
9b12d120-31ee-49e9-bd6c-1bdeb319281c,62d4cc85-60ec-4dfb-b899-2bbf22af5cf1,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9137529262,True
d54bc7ca-e489-4e81-bfe6-fe26ac3c47ab,2085447f-7e81-465d-b3d4-e41c1a0dc8dc,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/6078453197,True
eea9c76a-8265-46d3-8bdb-ab9f306ec59c,bc07eadf-dd38-4d38-b40f-dd02be54a6ba,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/5134767130,True
340d12cd-b035-4fb2-a3f1-27c60d4535a8,40012a46-f4e0-4ab2-b37a-504541188831,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/8742256672,True
1c858695-a98d-4d19-83ef-b5ebfccaa80e,eb8de739-cf55-4e8e-8ec0-16c20098d4a5,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1507517277,True
65cfca4d-abe6-4f7f-873a-bcd5b4bb3f29,3dff4c4f-5fdd-46e4-b4af-48a7598b580d,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/2015257819,True
3d4ac215-1092-4b22-85ca-ca3659f63d50,dfbad3be-ac13-4c89-aef7-aa77202e7435,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/7665595029,True
b234eb39-ed0a-415b-9999-328258843845,568cf1ad-6e0d-4632-a24a-b10d92bc5553,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/5830071129,True
003da9a5-d719-4723-9f63-e42a2a3d2eeb,1b21b92e-bf6c-4a1f-9d30-7df751a6d90a,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1847077286,True
bb8ccaab-6b5e-42a0-a974-2aab00ba81ac,275dcb2c-c32d-4b3c-8d32-c7280e173efb,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1020722365,True
c74d69f9-b3bd-40c6-a2bd-3a1deaa615f9,110ee39a-596d-4077-ba08-42a68bb12579,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/2180752569,True
3382bbbd-416b-4cfe-8d26-72764de9f7ff,6836877b-1f7e-4c4e-9ac6-68404366a3c6,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/4550811491,True
b739c61e-584a-4fb0-81dd-4b412b180ee4,b3e4ba43-26e8-401b-939d-5713ea7f0edc,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/8764209796,True
f95170dc-097d-4631-9f2a-fc3236b4f7ec,481ec163-8ec5-49c9-a93d-72661664c375,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/4376791002,True
6b8f29fd-4e80-4633-99e2-7e3619ee081c,b2262e01-f79c-42e5-978e-ae69abef45aa,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/8371513467,True
f07cc388-6249-4e39-beb0-0ba189a4ac1d,8a55b0fc-3058-411d-82b8-72a63cabdd52,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/7796253905,True
1893b1ad-df8d-4d1e-b5c3-2b086e084d2b,1e9fd28c-93bc-413a-a902-6107e56b0a7d,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9595583189,True
8b81b4b4-a9e6-4e10-9428-9db29e7b076b,d72d5a47-52dd-458d-be0b-dbd7e837c862,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/3450711527,True
c83c4563-9245-42be-b738-0ac30a03fa53,64f0910f-596e-41f9-a634-ee2ff52fccff,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/2002429752,True
895a104f-2902-4e17-a78b-ba463d0ef719,140e14a1-7af7-4d40-95be-f3b38fa55695,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/5869986184,True
8475dc05-2fe9-4a11-93bf-bd343e80f1b9,4487e147-a0f2-4788-9b58-1c0b78552540,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/8074460372,True
1c3e2a8e-6416-4d9f-8bd9-c66d7da6e72e,4d9ef5db-ca69-4386-85c2-87d75ee9adfd,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1162586567,True
edf46186-198c-4af4-b7df-bac3efdb201d,2b1f1197-baff-42c8-b0d1-e837e90b1806,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/1126162110,True
6bb2137f-4d62-4ce7-a062-9aa90d78327d,2ea50b58-3c28-47dd-921e-0ad5fad18d60,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/4498500426,True
a9c331b7-bd95-470c-8f96-1a40a25143ec,a71f3155-43bb-49ae-9fb4-87d2a6c2cbe4,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/3458375618,True
6088c41f-38ad-40a8-acc0-4a7d6ec8446e,ea460ef6-41cb-4047-ae20-70e6aa8c5377,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9140806468,True
bf2a3ad3-30ba-4de8-97c5-13d4b1976b4a,6026c922-99da-4a07-b0c8-7a9c24fe4414,0.0,SEK,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/8819516388,True
ca16c770-33ae-45fc-881e-0d38059a052a,d8832178-3d57-46bf-8802-6e4785122d52,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/7924695445,True
19a829ca-4bf2-4bae-ab08-a7e53df927d2,f7a0e0e2-d45e-41fc-9ef8-8e86e791a77e,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/3929916591,True
82e86a31-3c6e-4a99-a856-6812e3e7ac4c,04e847d6-f8b0-4ad1-9756-0a9174d3d2f7,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/2155064724,True
332e4cf5-400e-4920-9ac4-54e066576db6,0c0390dc-40c1-4ca3-a48c-dd006186598a,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9528093935,True
aaa7ca1b-3132-45c2-ab53-7849cc6af184,849854d7-cc8c-459d-a3dd-a82e52149921,0.0,GBP,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/3392185763,True
596845b5-d30f-45b3-afc3-1f938727ca4a,bc33bf74-b296-495d-b236-141e5586fc88,0.0,EUR,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/9882445055,True
eaeecbd6-9afc-4f4c-91ff-444765d5a4ad,15cee433-e746-4247-ba8c-1b897b36a69d,0.0,USD,Free UK Mainland Delivery,free uk mainland delivery,gid://shopify/ShippingLine/7623739367,True
