order_id,charge_id,amount,currency,status,chargeID,orderID,gateway,gatewayPaymentMethodReference,gatewayReference,paymentMethodID,reference,refunds
eb6d0c84-df1e-4507-8d47-d0992d55e3aa,bd301797-cc6f-4e88-8aeb-dfd6c2b22a7e,50430.0,USD,success,,,,,,,,
,,50430.0,USD,success,bd301797-cc6f-4e88-8aeb-dfd6c2b22a7e,eb6d0c84-df1e-4507-8d47-d0992d55e3aa,stripe,pm_sRPoySrvL,pi_gmGWUTkyz,9809337a-a638-4579-81b6-668cca729ebe,4256915332535,[]
c7937cfc-57d5-4b10-a61c-d1318a77abcb,c971761b-e010-4b46-85ae-3b785b2141dd,11971.0,GBP,success,,,,,,,,
,,11971.0,GBP,success,c971761b-e010-4b46-85ae-3b785b2141dd,c7937cfc-57d5-4b10-a61c-d1318a77abcb,stripe,pm_wfioxhzBw,pi_rLoLVleuU,84b0fa87-827b-4d5c-89fb-cff844a631a0,2626693709559,[]
fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,cfeb490b-fcd7-46b6-a764-d5d3ad89e059,4052.0,USD,success,,,,,,,,
,,4052.0,USD,success,cfeb490b-fcd7-46b6-a764-d5d3ad89e059,fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,stripe,pm_uRunQmaor,pi_QDVmllwvF,4e53bdfd-8582-458e-8dce-1c8a2b3720b5,5738840416537,[]
ed62dd4c-ba16-478d-ab35-a924a9894439,3c9a6fb6-7f29-49be-8f0d-8d1cc49f690f,31957.0,USD,success,,,,,,,,
,,31957.0,USD,success,3c9a6fb6-7f29-49be-8f0d-8d1cc49f690f,ed62dd4c-ba16-478d-ab35-a924a9894439,stripe,pm_ZLWvVLacE,pi_gCnFXlqXA,2e17a5cd-e504-4090-87f7-12d9587425a5,3888812004559,[]
78efe8d2-1559-4c36-a8cc-22066e9bfc02,4933ff92-2751-4d18-abd3-1e21a7e946a4,24656.0,SEK,success,,,,,,,,
,,24656.0,SEK,success,4933ff92-2751-4d18-abd3-1e21a7e946a4,78efe8d2-1559-4c36-a8cc-22066e9bfc02,stripe,pm_WvkUhTSMw,pi_kIHVSSqvk,22fb4d20-5945-4743-9430-2b83fbbe0f94,5657147862322,[]
c18982ab-6742-4186-a25b-61a991d439d4,a1363a64-f3b8-4289-b32c-53be80092ad3,11018.0,SEK,success,,,,,,,,
,,11018.0,SEK,success,a1363a64-f3b8-4289-b32c-53be80092ad3,c18982ab-6742-4186-a25b-61a991d439d4,stripe,pm_TYFnVzBKQ,pi_qFzIxlcRq,d32b8b79-ae11-40fc-8096-2107033618d1,2024339870431,[]
46d20cd3-1b2b-44f0-9272-bfe9e5828363,c0c2643d-2be2-4765-98e6-5df288ef360e,48554.0,SEK,success,,,,,,,,
,,48554.0,SEK,success,c0c2643d-2be2-4765-98e6-5df288ef360e,46d20cd3-1b2b-44f0-9272-bfe9e5828363,stripe,pm_LTzaZtlkh,pi_IeJZzPBds,38fbcb53-d36a-4fc2-ba64-d3ce922d0a81,4023286068076,[]
500c43f9-30ee-43ed-8de8-6fe07ff351e8,7bfd39fd-464e-4219-9645-b39377219212,16578.0,EUR,success,,,,,,,,
,,16578.0,EUR,success,7bfd39fd-464e-4219-9645-b39377219212,500c43f9-30ee-43ed-8de8-6fe07ff351e8,stripe,pm_akEvmhmJM,pi_ZogdgmCfS,39969049-8d16-4bc8-a2d0-8e65cc0bb935,6126915798934,[]
d64cf28c-5206-4ed5-968a-c010cf9f6854,e2f646dc-69da-4acc-aa9d-e959f450af31,2936.0,USD,success,,,,,,,,
,,2936.0,USD,success,e2f646dc-69da-4acc-aa9d-e959f450af31,d64cf28c-5206-4ed5-968a-c010cf9f6854,stripe,pm_WHrlmgbqq,pi_VBxZLLywp,a9a347d6-bd8e-431e-96c0-307f7d830254,2506530698970,[]
005f222e-3de4-4d35-bdc4-347b4db429c8,b72569ce-de2e-4bd8-b84b-f8186d7b5a8a,9060.0,USD,success,,,,,,,,
,,9060.0,USD,success,b72569ce-de2e-4bd8-b84b-f8186d7b5a8a,005f222e-3de4-4d35-bdc4-347b4db429c8,stripe,pm_TWyIEWUTu,pi_TzVrWIlso,82bef5ae-1fe0-47cc-99d3-c80dacd7deb0,7883882441639,[]
fca2c21c-0284-4879-ba5a-c69584523c72,288fb0e0-e029-4f88-94cf-9c52bb39263f,24761.0,USD,success,,,,,,,,
,,24761.0,USD,success,288fb0e0-e029-4f88-94cf-9c52bb39263f,fca2c21c-0284-4879-ba5a-c69584523c72,stripe,pm_rcuzzhFSY,pi_dmEDDvJEy,8dd94a90-abfa-4b70-a1b9-09be6169a35f,2304765750142,[]
d65c7e0e-f972-4dd3-9abc-a9c380b604d1,006e9319-f26c-4c7c-bfa8-d2c160d9c9e0,32131.0,USD,success,,,,,,,,
,,32131.0,USD,success,006e9319-f26c-4c7c-bfa8-d2c160d9c9e0,d65c7e0e-f972-4dd3-9abc-a9c380b604d1,stripe,pm_vlkULKIJg,pi_fzdNtIMNU,b698f5a8-383e-4303-92ee-e87338e53576,2215209317193,[]
b428b6cb-a0b6-4ada-b965-d969fef0b903,34874bfa-03fc-4245-b19e-976dcb6a0a5d,27993.0,EUR,success,,,,,,,,
,,27993.0,EUR,success,34874bfa-03fc-4245-b19e-976dcb6a0a5d,b428b6cb-a0b6-4ada-b965-d969fef0b903,stripe,pm_cMpTJbkWq,pi_FkhdPlLCY,2e64036d-70b6-4f5c-81a7-42795619ecb6,5173957421261,[]
c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,c592dcfa-c64e-45a2-8a17-af26b593520f,1277.0,EUR,success,,,,,,,,
,,1277.0,EUR,success,c592dcfa-c64e-45a2-8a17-af26b593520f,c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,stripe,pm_IUugNHVaT,pi_hpoQHGDMh,5e977a88-b9c1-417e-af99-a67cf8ec6988,3682667502333,[]
39184c1a-27b6-4e32-9c01-2234286d2e37,b9f063fa-45d8-46fc-b5bf-38fa3f08d3d6,22984.0,SEK,success,,,,,,,,
